,count,mean,std,min,25%,50%,75%,max,median
A_malt_bread,250.0,0.046913357775999996,0.5228435550832717,-0.689772601,-0.30034663475,-0.087784286,0.22862452975,2.462206713,-0.087784286
A_malt_cara,250.0,0.025380238028000008,0.62796993965826,-0.599110694,-0.45854133275,-0.183733341,0.25165948925000003,2.193257875,-0.183733341
A_malt_burn,250.0,0.019210443888,0.6805343991907736,-0.447275469,-0.34557666125,-0.19321073049999998,0.0554594255,4.104157537,-0.19321073049999998
A_hops_all,250.0,0.0006158065559999955,0.6602584053662987,-1.362201516,-0.483579454,-0.0270591335,0.3548031025,2.48783156,-0.0270591335
A_hops_citrus,250.0,-0.012235455156,0.48674259060660857,-0.579850507,-0.39029797,-0.14802799,0.195317651,1.817997731,-0.14802799
A_hops_tropical,250.0,0.007914521891999995,0.6110699293810465,-0.523589703,-0.359692818,-0.167881235,0.11888625375,3.063614044,-0.167881235
A_hops_noble,250.0,0.0010417153040000074,0.5361196981118528,-1.0269005,-0.370429256,-0.0464475535,0.30256774724999996,2.123449551,-0.0464475535
A_hops_woody,250.0,-0.019918499428,0.3696592855908294,-0.522916254,-0.280123362,-0.111873195,0.135686905,1.511101066,-0.111873195
A_esters_all,250.0,0.04075873440000001,0.602876366951326,-1.699589618,-0.3638254465,0.036392214,0.40370774,1.670572305,0.036392214
A_esters_ethac,250.0,-0.005202173091999999,0.4987254793059294,-0.848913765,-0.378817839,-0.051927048,0.2846650725,1.78885696,-0.051927048
A_esters_isoaa,250.0,0.044706344952,0.5389257476704424,-0.868878218,-0.3567454505,-0.029173822,0.36567165975,2.171745921,-0.029173822
A_esters_flower,250.0,-0.029950507784,0.42416948711736535,-0.528880348,-0.36308328175,-0.131253074,0.16379649824999998,1.85681377,-0.131253074
A_esters_fruity,250.0,0.011240535080000006,0.5045625042006484,-0.689068908,-0.31396646475,-0.088438121,0.1571356935,2.406169683,-0.088438121
F_malt_all,250.0,0.034147856680000005,0.6872364578244262,-1.649828118,-0.48939432275,-0.0126725735,0.5038240037499999,2.466213759,-0.0126725735
F_malt_grain,250.0,0.01231812245599999,0.4496729407179533,-1.239843672,-0.306487547,-0.040330187,0.307928824,1.372628057,-0.040330187
F_malt_bread,250.0,0.030943584896,0.4875507372514515,-0.742979431,-0.33630978499999997,-0.0509043155,0.32455945725,1.991660997,-0.0509043155
F_malt_cara,250.0,0.02508915504000001,0.572102455306656,-0.555756438,-0.42528123025,-0.128886395,0.3112821085,2.368488183,-0.128886395
F_malt_burn,250.0,0.026065993276,0.6836398986168938,-0.538200898,-0.393314845,-0.202600469,0.132060944,2.949560062,-0.202600469
F_hops_all,250.0,0.021349911784000013,0.6941166554614945,-1.265565644,-0.51359842475,-0.072821571,0.5122202745,2.201119254,-0.072821571
F_hops_citrus,250.0,-0.018681823123999998,0.4486300826888457,-0.667823107,-0.358209143,-0.13160066450000002,0.16869016375,1.950996089,-0.13160066450000002
F_hops_tropical,250.0,0.010889299167999997,0.5096925812135308,-0.430393985,-0.302655853,-0.173692584,0.127789701,2.762132247,-0.173692584
F_hops_noble,250.0,0.014672435391999998,0.6123269683696362,-1.167382423,-0.42308049075,-0.0971966835,0.3815026205,2.364434371,-0.0971966835
F_hops_woody,250.0,-0.0012033320679999875,0.4651414517073349,-0.646236921,-0.305654563,-0.14308393949999998,0.16063970375,2.027262089,-0.14308393949999998
F_esters_all,250.0,0.05822655549600001,0.5843944376842637,-1.208515159,-0.306982688,-0.019546384,0.43973971425,1.993642465,-0.019546384
F_esters_ethac,250.0,0.00909752654799999,0.49672645526693016,-0.876467225,-0.33973469624999997,-0.0567063405,0.26421724625,1.873783892,-0.0567063405
F_esters_isoaa,250.0,0.062832603384,0.567421457430029,-0.726982849,-0.32183793875,-0.0707102835,0.37462242475,3.063107864,-0.0707102835
F_esters_flower,250.0,-0.004920268711999997,0.4155202423847791,-0.432918788,-0.297449026,-0.133316053,0.1370746315,2.084232862,-0.133316053
F_esters_fruity,250.0,0.01949918368,0.5054228731838676,-0.690180858,-0.294865417,-0.10147419599999999,0.17561155674999998,2.329356416,-0.10147419599999999
acidity,250.0,0.011382084123999988,0.8584632026985457,-0.72554338,-0.469663051,-0.32868836349999997,-0.050729512500000004,3.781348008,-0.32868836349999997
bitternes,250.0,-0.02259596166,0.730950413024744,-1.696521301,-0.526704324,0.018438054000000002,0.39202303475,2.328004649,0.018438054000000002
sweetness,250.0,0.025809929596000005,0.6805215039934586,-1.010874166,-0.43945399375,-0.1135412755,0.336391282,2.945475123,-0.1135412755
X4vg,250.0,-0.026798137539999992,0.6517031025250329,-0.701431141,-0.4492407305,-0.227492023,0.09193757799999999,3.355030417,-0.227492023
diacetyl,250.0,-0.009441748504000006,0.5171954759466197,-0.657461766,-0.3640837495,-0.1562826485,0.22416174525,2.189226081,-0.1562826485
dms,250.0,-0.020415212928000005,0.5004196286987839,-0.7594485,-0.36248642775,-0.1053487145,0.20952518325000002,2.317193605,-0.1053487145
metallic,250.0,-0.030125545944000003,0.4868300460656368,-0.73722619,-0.41357309475,-0.110575901,0.23175025975,2.026226247,-0.110575901
stale_hops,250.0,-0.048843160591999994,0.4415382915100902,-0.38753494,-0.35029381299999995,-0.2005732875,0.07906659999999999,2.731075163,-0.2005732875
t2n,250.0,-0.023774966860000003,0.4004194590529788,-0.513370956,-0.34801561675000003,-0.0826603475,0.17185633275,1.647048513,-0.0826603475
orange,250.0,0.017677743476,0.6835222944759471,-0.297576527,-0.251346633,-0.2280240925,-0.00396006,4.774454855,-0.2280240925
coriander,250.0,-0.009572656888000007,0.4526965045800073,-0.239478139,-0.180678619,-0.16653009400000002,-0.154420058,3.936706534,-0.16653009400000002
clove,250.0,-0.030998595096000003,0.5593648216383962,-0.268516935,-0.22077824425,-0.204894583,-0.07567859125000001,6.172383248,-0.204894583
lactic,250.0,0.01006652859599999,0.7352198335829093,-0.428248412,-0.314573857,-0.304324965,-0.259165332,3.826022977,-0.304324965
acetic,250.0,0.0031245530439999955,0.7478744617893408,-0.417191891,-0.2806984,-0.27415316,-0.252076691,4.396779269,-0.27415316
barnyard,250.0,-0.04931181586799999,0.4491693367711171,-0.37825167,-0.342486837,-0.21280004,0.08233422275,2.752413252,-0.21280004
alcohol,250.0,-0.01851257816799995,0.7582576213667281,-2.150728655,-0.44000197225000004,-0.0163231025,0.5077228045,1.741369484,-0.0163231025
aftertaste,250.0,0.017390136976000007,0.6216602916278339,-2.100344509,-0.35641575175,0.0464316295,0.38416272925,1.976961887,0.0464316295
body,250.0,0.002363408631999988,0.5658509444631238,-1.862278045,-0.37007041925,-0.037678998500000005,0.38784434225000003,1.716343682,-0.037678998500000005
co2,250.0,-0.0033442887719999986,0.5894287793001933,-1.739427779,-0.40187074575,-0.025685348,0.406679752,1.439582243,-0.025685348
overall,250.0,-0.008008562512000005,0.5478751659033442,-1.735964657,-0.26995846975000004,0.062934057,0.3646115755,1.34564954,0.062934057
aroma_acetaldehyde,250.0,0.0011605297000000228,1.0039231776683541,-0.145066167,-0.145066167,-0.145066167,-0.145066167,12.00413636,-0.145066167
aroma_acetate,250.0,0.0011124700120000383,1.0039300603874723,-0.139058723,-0.139058723,-0.139058723,-0.139058723,11.51691085,-0.139058723
aroma_acetic,250.0,0.002467906151999998,1.003624250201591,-0.308488284,-0.308488284,-0.308488284,-0.308488284,11.2645386,-0.308488284
aroma_acidic,250.0,0.0006074821879999917,1.003118430745419,-0.541217731,-0.541217731,-0.428971282,-0.07884340875,4.498603027,-0.428971282
aroma_aftertaste,250.0,0.003299293499999969,1.0033220159851286,-0.412411662,-0.412411662,-0.412411662,0.0815437695,10.99336228,-0.412411662
aroma_alcohol,250.0,0.0010436131840000087,1.0037876728662913,-0.827452442,-0.760941203,-0.363452448,0.45473009,5.438397201,-0.363452448
aroma_anise,250.0,0.002632963167999996,1.0035711863598453,-0.32912036,-0.32912036,-0.32912036,-0.06843675874999999,8.198969707,-0.32912036
aroma_apple,250.0,0.0010487212279999944,1.0039386515176272,-0.78300222,-0.52950891175,-0.21574018550000001,0.22845883375,10.37199413,-0.21574018550000001
aroma_banana,250.0,0.0034630472759999975,1.0029489200965087,-0.923885677,-0.8184286430000001,-0.328529842,0.48341141225,3.849439762,-0.328529842
aroma_barnyard,250.0,0.00015978429199999412,1.0031905361491165,-0.471511557,-0.471511557,-0.3601034745,-0.05793334325,5.275796528,-0.3601034745
aroma_bitter,250.0,0.0009463896680000126,1.0027203421771296,-0.672921946,-0.672921946,-0.278242929,0.14181872825,7.569657959,-0.278242929
aroma_blanket,250.0,0.0004861637199999862,1.0036076313020659,-0.371184448,-0.371184448,-0.371184448,-0.16792916875000002,6.267660305,-0.371184448
aroma_bread,250.0,0.007415187851999988,0.9994329098456455,-1.451447324,-0.83010177525,-0.0571470915,0.6804309355,4.206049079,-0.0571470915
aroma_burnt,250.0,0.004584687159999966,1.0026829276242062,-0.573085884,-0.573085884,-0.481663665,0.1925654075,5.543981947,-0.481663665
aroma_butterscotch,250.0,-0.0006105127079999874,1.0029595416726578,-0.42976218,-0.42976218,-0.42976218,0.07415912875,11.6171629,-0.42976218
aroma_buttery,250.0,0.003768235996000023,1.0031130510976642,-0.471029496,-0.471029496,-0.471029496,0.052928976,6.665543029,-0.471029496
aroma_cabbage,250.0,0.0016975467480000077,1.0038264693241692,-0.212193387,-0.212193387,-0.212193387,-0.212193387,9.76662629,-0.212193387
aroma_candy,250.0,-0.012257791288000022,0.9714309979333898,-1.203706927,-0.7537202620000001,-0.1214005035,0.470805328,3.806631448,-0.1214005035
aroma_caramel,250.0,-0.009134648867999999,0.9909668191866291,-1.052477053,-0.83295511375,-0.418048061,0.7349602705,2.591707355,-0.418048061
aroma_carbonation,250.0,0.004116757399999997,1.0029397506438467,-0.514594674,-0.514594674,-0.514594674,0.19386513700000002,6.829464897,-0.514594674
aroma_cardboard,250.0,0.002945605012000044,1.0034612537211258,-0.368200618,-0.368200618,-0.3002151505,-0.10163324375,10.09402151,-0.3002151505
aroma_cereal,250.0,0.004770447027999993,1.002573294083604,-0.596305886,-0.596305886,-0.308449274,0.20114079475000002,5.742870981,-0.308449274
aroma_cheesy,250.0,0.0021977080959999923,1.0037036985798289,-0.2747135,-0.2747135,-0.2747135,-0.01214542425,11.03185759,-0.2747135
aroma_citrus,250.0,0.0013183370240000087,1.0012129501164266,-0.983583039,-0.83559063775,-0.391568236,0.6501797925,3.128229614,-0.391568236
aroma_clove,250.0,-0.0008769458039999733,1.0005198886969737,-0.816881558,-0.816881558,-0.31687266300000005,0.42033231675,6.144422477,-0.31687266300000005
aroma_coriander,250.0,0.004079531972000032,1.0029589930743472,-0.509941484,-0.509941484,-0.39342348250000003,0.04981468175,5.089851955,-0.39342348250000003
aroma_corn,250.0,0.002800460531999988,1.003513823987827,-0.350057581,-0.350057581,-0.350057581,-0.1881298205,5.513217645,-0.350057581
aroma_dentist,250.0,0.0005039524760000127,1.0039920320061175,-0.062994079,-0.062994079,-0.062994079,-0.062994079,15.81151379,-0.062994079
aroma_diacetyl,250.0,0.002407873052000017,1.0036426979982125,-0.300984082,-0.300984082,-0.300984082,-0.300984082,9.233532104,-0.300984082
aroma_estery,250.0,0.005263401883999947,1.0022611843388731,-0.657925253,-0.657925253,-0.494053184,0.3430266745,6.726920941,-0.494053184
aroma_flour,250.0,0.0015958736960000124,1.0038475689420294,-0.19948425,-0.19948425,-0.19948425,-0.19948425,13.37471475,-0.19948425
aroma_flower,250.0,0.004872855555999976,1.0023154658519282,-0.830019061,-0.745378885,-0.35463670199999997,0.49310949200000004,5.035184052,-0.35463670199999997
aroma_fruity,250.0,-0.004329933455999992,0.9971720136954493,-2.061863014,-0.7596073622499999,-0.042231532,0.68469548775,4.742014711,-0.042231532
aroma_grainy,250.0,-0.0014538630640000179,1.0019270403570248,-0.515700668,-0.49849557,-0.3412265405,-0.08542196775,6.701370995,-0.3412265405
aroma_grape,250.0,-0.007723130676000015,0.999088324808245,-0.953448143,-0.71235249225,-0.2507577075,0.36222823075,4.638861112,-0.2507577075
aroma_grass,250.0,0.003390161735999998,1.0026977857437718,-0.806297846,-0.68994957825,-0.3704802575,0.24342608025,4.766311548,-0.3704802575
